record_id,satellite_name,country,approximate_orbit_type,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,days_old,conjunction_count,still_in_orbit,risk_level
23097,USA 103,US,Unknown Orbit Category,Payload,1994,AFETR,0.00,0.00,"28.4917337,0,11233,false,Low
28158,USA 176,US,GEO,Payload,2004,AFETR,87.92,87.19,"28.4917337,0,7659,true,Low
47880,STARLINK-2337,US,LEO,Payload,2021,AFETR,-175.03,-130.53,"28.4917337,0,1421,true,Moderate
48370,STARLINK-2621,US,LEO,Payload,2021,AFETR,54.80,104.19,"28.4917337,0,1370,true,Moderate
54008,STARLINK-5145,US,LEO,Payload,2022,AFWTR,-125.29,-84.74,"34.742221,0,851,true,Moderate
55658,STARLINK-5307,US,LEO,Payload,2023,AFWTR,67.76,168.11,"34.742221,0,716,true,High
57868,STARLINK-30442,US,LEO,Payload,2023,AFETR,-157.99,164.47,"28.4917337,0,505,true,High
58185,STARLINK-30793,US,LEO,Payload,2023,AFETR,80.02,42.17,"28.4917337,0,461,true,Moderate
58197,STARLINK-30762,US,LEO,Payload,2023,AFETR,5.84,-24.71,"28.4917337,0,461,true,Moderate
59891,STARLINK-31949,US,LEO,Payload,2024,AFETR,-144.49,-85.39,"28.4917337,0,250,true,High
60053,STARLINK-31793,US,LEO,Payload,2024,AFWTR,122.65,134.57,"34.742221,0,239,true,Moderate
60336,STARLINK-32079,US,LEO,Payload,2024,AFETR,35.74,162.28,"28.4917337,0,184,true,High
19919,TELE-X,SWED,GEO,Payload,1989,FRGUI,-11.56,63.58,"5.222222,0,13090,true,High
28463,EXPRESS AM-1,CIS,GEO,Payload,2004,TTMTR,-94.43,-8.29,"45.965,0,7401,true,High
28500,DELTA 4 DEMO SPACECRAFT,US,HEO,Payload,2004,AFETR,-90.92,-107.01,"28.4917337,0,7348,true,Moderate
38339,SDS-4,JPN,LEO,Payload,2012,TNSTA,-118.43,-156.38,"30.4,0,4644,true,Moderate
50832,STARLINK-3328,US,LEO,Payload,2022,AFETR,-96.47,-51.77,"28.4917337,0,1123,true,Moderate
54073,STARLINK-5146,US,LEO,Payload,2022,AFETR,52.42,90.51,"28.4917337,0,836,true,Moderate
56081,ONEWEB-0718,UK,LEO,Payload,2023,SRI,131.07,-153.34,"13.7178,0,679,true,High
56199,TOMORROW-R1,US,LEO,Payload,2023,AFWTR,-120.70,-22.75,"34.742221,0,659,true,High
56505,STARLINK-5763,US,LEO,Payload,2023,AFETR,-80.05,-112.98,"28.4917337,0,630,true,Moderate
56539,STARLINK-6135,US,LEO,Payload,2023,AFETR,57.25,27.09,"28.4917337,0,630,true,Moderate
59264,STARLINK-31645,US,LEO,Payload,2024,AFWTR,-81.84,45.14,"34.742221,0,320,true,High
60427,STARLINK-32254,US,LEO,Payload,2024,AFETR,33.40,103.36,"28.4917337,0,174,true,High
11667,COSMOS 1150,CIS,LEO,Payload,1980,PKMTR,-81.82,-27.85,"62.925556,0,16456,true,High
18570,TVSAT 1,GER,GEO,Payload,1987,FRGUI,63.71,-11.48,"5.222222,0,13588,true,High
26958,PROBA 1,ESA,LEO,Payload,2001,SRI,148.32,-90.28,"13.7178,0,8504,true,High
27775,COSMOS 2397,CIS,GEO,Payload,2003,TTMTR,-163.21,-40.56,"45.965,0,7955,true,High
39166,NAVSTAR 68 (USA 242),US,MEO,Payload,2013,AFETR,28.26,91.15,"28.4917337,0,4281,true,High
49206,ONEWEB-0340,UK,LEO,Payload,2021,TTMTR,-151.81,-58.74,"45.965,0,1237,true,High
49280,ONEWEB-0347,UK,LEO,Payload,2021,VOSTO,-34.18,156.99,"51.884553,0,1207,true,High
51634,ONEWEB-0438,UK,LEO,Payload,2022,FRGUI,85.32,-94.11,"5.222222,0,1088,true,High
51789,STARLINK-3639,US,LEO,Payload,2022,AFWTR,23.50,62.98,"34.742221,0,1073,true,Moderate
53223,STARLINK-4354,US,LEO,Payload,2022,AFWTR,34.33,131.31,"34.742221,0,926,true,High
54010,STARLINK-5127,US,LEO,Payload,2022,AFWTR,-80.58,-41.82,"34.742221,0,851,true,Moderate
54198,STARLINK-5246,US,LEO,Payload,2022,AFWTR,92.60,148.78,"34.742221,0,828,true,High
56413,STARLINK-6258,US,LEO,Payload,2023,AFETR,55.36,23.89,"28.4917337,0,640,true,Moderate
57329,STARLINK-6138,US,LEO,Payload,2023,AFETR,54.50,22.99,"28.4917337,0,567,true,Moderate
58639,STARLINK-31070,US,LEO,Payload,2023,AFETR,107.80,-41.54,"28.4917337,0,407,true,High
47437,OBJECT AA,TBD,LEO,Unknown,2021,AFETR,30.61,-104.51,"28.4917337,0,1470,true,High
47960,OBJECT AE,TBD,LEO,Unknown,2021,TTMTR,50.39,160.69,"45.965,0,1413,true,High
10096,SL-14 R/B,CIS,LEO,RocketBody,1977,PKMTR,-70.95,-45.06,"62.925556,0,17390,true,Moderate
11888,SL-6 R/B(2),CIS,HEO,RocketBody,1980,PKMTR,126.92,-19.62,"62.925556,0,16286,true,High
13610,SL-12 R/B(2),CIS,MEO,RocketBody,1982,TTMTR,85.42,128.26,"45.965,0,15454,true,Moderate
18634,SL-12 R/B(2),CIS,GEO,RocketBody,1987,TTMTR,-84.03,-45.41,"45.965,0,13569,true,Moderate
28473,ATLAS 5 CENTAUR R/B,US,HEO,RocketBody,2004,AFETR,58.82,165.88,"28.4917337,0,7352,true,High
